conversation_id,conversation_label,baseline_id,backend,mode,turn_index,speaker,SGI,SGI_clipped,Velocity,d_SGI,d_Velocity,phase,manifold_distance,on_manifold,top_symbol,symbol_confidence
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,23,User,0.9343317029700854,0.9343317029700854,18.48270047291984,-0.894105982230104,-12.5752174368278,T,0.7221921434438564,1,purpose,0.3245790489171891
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,24,AI,0.0880715138566199,0.0880715138566199,1.729794690718354,-0.8462601891134655,-16.752905782201488,T,1.3177951218247759,1,purpose,0.2706789493340388
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,25,User,0.5380990518937221,0.5380990518937221,17.875552694132704,0.45002753803710216,16.14575800341435,T,0.7596206912817927,1,purpose,0.31550701041388984
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,26,AI,3.0125743811465275,3.0125743811465275,24.04291220740712,2.4744753292528054,6.167359513274416,G,0.8896866291256563,1,purpose,0.42010143716331333
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,27,User,0.47600140736865654,0.47600140736865654,5.661202222804805,-2.536572973777871,-18.381709984602317,T,1.162254229197092,1,choice,0.3035722195938047
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,28,AI,0.6139080628388298,0.6139080628388298,7.473173000243368,0.13790665547017328,1.811970777438563,T,1.0958146636958581,1,purpose,0.27582967757290605
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,29,User,0.6521814691814365,0.6521814691814365,18.090058261644227,0.038273406342606675,10.61688526140086,T,0.7450075853786767,1,purpose,0.29639997560667625
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,30,AI,0.12039729259898525,0.12039729259898525,3.6447958437753494,-0.5317841765824513,-14.445262417868879,T,1.2533667898129182,1,purpose,0.35776870936443783
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,31,User,0.32786091680830715,0.32786091680830715,7.217088043676836,0.2074636242093219,3.5722921999014865,T,1.1211409477966179,1,purpose,0.30234012640355484
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,32,AI,1.1853899916022912,1.1853899916022912,46.77293629277714,0.8575290747939841,39.5558482491003,D,0.22701382005836945,1,introspection,0.3057635611149137
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,33,User,0.9725812397327283,0.9725812397327283,47.80277394015926,-0.21280875186956294,1.0298376473821236,D,0.2517873318353337,1,contentment,0.20963105467749094
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,34,AI,0.5116231629119351,0.5116231629119351,29.187202275473137,-0.46095807682079315,-18.615571664686126,T,0.4048315008949961,1,peace,0.2408509909149632
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,35,User,0.48436130705324076,0.48436130705324076,31.51235501766413,-0.02726185585869434,2.325152742190994,T,0.3415739181246672,1,contentment,0.2903569025516791
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,36,AI,0.34928946430322744,0.34928946430322744,22.816732233510802,-0.13507184275001333,-8.69562278415333,T,0.6217561859540399,1,hope,0.21041725050325305
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,37,User,0.9136159425047644,0.9136159425047644,72.16254535414996,0.5643264782015369,49.34581312063915,D,1.0607804649467547,1,contentment,0.28636287009592426
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,38,AI,0.7919629829309255,0.7919629829309255,47.095384461056945,-0.12165295957383893,-25.06716089309301,D,0.23960610332924373,1,contentment,0.3462698269263
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,39,User,1.8358848047267238,1.8358848047267238,39.608315054173985,1.0439218217957982,-7.487069406882959,G,0.2952531089136438,1,truth,0.22580221971081657
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,40,AI,2.493553302964217,2.493553302964217,21.20899517030029,0.6576684982374934,-18.399319883873694,G,0.8219067005992509,1,challenge,0.23932944663276748
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,41,User,1.1599669688553478,1.1599669688553478,23.77028349877318,-1.3335863341088694,2.5612883284728873,T,0.5491746767663241,1,contentment,0.27213117565748157
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,42,AI,1.2196493126844141,1.2196493126844141,33.18108618760621,0.05968234382906634,9.410802688833034,T,0.24631296538139213,1,hope,0.2639323175578319
naturalistic/B10_self_discovery_AI/baseline10,baseline10,B10,jina-v3,centered,43,User,1.195427908447999,1.195427908447999,40.60729267020087,-0.024221404236415056,7.426206482594658,D,0.07002725072505771,1,introspection,0.2686596775965372
